instancia,q-medio,q-desvio,tempo,alfa,mutacao,filhos
Western Sahara,39578,1706.5,52.201009473999875,10,80,15
Western Sahara,41182,1603.14,52.20090874299967,15,80,15
Western Sahara,39080,2487.26,52.20107727300092,20,80,15
Western Sahara,40903,1914.56,52.20059087399932,80,80,15
Western Sahara,40176,2350.12,52.201076663001004,85,80,15
Western Sahara,39630,2280.78,52.200844201999644,90,80,15
Western Sahara,37348,2529.98,52.201207194000744,5,80,20
Western Sahara,35897,2761.09,52.20093503299904,10,80,20
Western Sahara,37693,2757.54,52.20092245400156,15,80,20
Western Sahara,38299,2619.29,52.20116799399875,20,80,20
Western Sahara,36217,2478.36,52.20094990400139,80,80,20
Western Sahara,36675,1681.53,52.201137723999636,85,80,20
Western Sahara,36040,2811.47,52.2007013629991,90,80,20
Western Sahara,86738,7143.1,52.20101667400013,5,80,85
Western Sahara,92924,7388.97,52.20105128399882,10,80,85
Western Sahara,85376,4486.94,52.20081561299958,15,80,85
Western Sahara,92523,7300.26,52.20089590399948,20,80,85
Western Sahara,93656,7610.95,52.20122258399897,80,80,85
Western Sahara,86956,6196.02,52.20098144300027,85,80,85
Western Sahara,89356,4795.03,52.2008875219999,90,80,85
Western Sahara,96603,4859.91,52.20080453400078,5,80,90
Western Sahara,91040,9545.65,52.20110423400001,10,80,90
Western Sahara,92768,2939.81,52.201100274000055,15,80,90
Western Sahara,92645,7647.05,52.20073045299978,20,80,90
Western Sahara,89970,4624.78,52.20093788400118,80,80,90
Western Sahara,93504,3936.83,52.20079871300004,85,80,90
Western Sahara,93583,6550.18,52.20091708400105,90,80,90
Western Sahara,90790,5534.85,52.2010427339992,5,80,95
Western Sahara,93532,9540.45,52.20097787300074,10,80,95
Western Sahara,94149,3271.21,52.20089863400062,15,80,95
Western Sahara,92131,9900.48,52.20101325399992,20,80,95
Western Sahara,95071,5523.07,52.20100347299922,80,80,95
Western Sahara,94479,6601.46,52.200997252999514,85,80,95
Western Sahara,91898,7596.96,52.201262213999144,90,80,95
Western Sahara,91335,6255.08,52.20103382399975,5,80,100
Western Sahara,95261,7014.37,52.201201773999856,10,80,100
Western Sahara,93597,8333.98,52.20089649399961,15,80,100
Western Sahara,93152,6948.42,52.2009984439992,20,80,100
Western Sahara,89868,6777.67,52.20119274300123,80,80,100
Western Sahara,92841,5298.17,52.20097021299989,85,80,100
Western Sahara,92615,7195.94,52.20110756400027,90,80,100
Western Sahara,37285,2007.81,52.20088162400134,5,85,5
Western Sahara,36256,2359.28,52.20105014300134,10,85,5
Western Sahara,38649,2261.99,52.20084823400066,15,85,5
Western Sahara,36957,2113.21,52.200895104000665,20,85,5
Western Sahara,36610,3760.14,52.200698823000494,80,85,5
Western Sahara,37625,2374.44,52.20099719400059,85,85,5
Western Sahara,37819,2707.28,52.20092410400139,90,85,5
Western Sahara,36757,1562.96,52.201036373000534,5,85,10
Western Sahara,37059,2308.87,52.20109024299927,10,85,10
Western Sahara,37261,2754.94,52.201091844000985,15,85,10
Western Sahara,36903,3050.32,52.201020294000045,20,85,10
Western Sahara,37070,3150.28,52.201130894000016,80,85,10
Western Sahara,36124,1928.65,52.20058408299883,85,85,10
Western Sahara,38444,2542.54,52.20108731399887,90,85,10
Western Sahara,38545,3304.69,52.20095672299976,5,85,15
Western Sahara,37508,2416.68,52.20075465300033,10,85,15
Western Sahara,36841,2907.55,52.200873804000366,15,85,15
Western Sahara,35796,3110.53,52.20112320299995,20,85,15
Western Sahara,35684,2531.24,52.201114473000416,80,85,15
Western Sahara,36479,2208.74,52.20097474300019,85,85,15
Western Sahara,37735,2379.12,52.201065193999966,90,85,15
Western Sahara,36414,2609.06,52.20098692399915,5,85,20
Western Sahara,36699,2947.43,52.201141982999616,10,85,20
Western Sahara,35542,2474.57,52.200886942999205,15,85,20
Western Sahara,37022,3171.04,52.20095835400025,20,85,20
Western Sahara,36294,2580.6,52.20104166400051,80,85,20
Western Sahara,36410,2542.89,52.20109513399984,85,85,20
Western Sahara,36105,2225.04,52.201230124001086,90,85,20
Western Sahara,94650,5627.41,52.20108615299978,5,85,85
Western Sahara,94179,6508.85,52.20095644399953,10,85,85
Western Sahara,93552,4637.7,52.20103533400106,15,85,85
Western Sahara,92347,6321.12,52.20106038400081,20,85,85
Western Sahara,93645,5374.94,52.20095442300044,80,85,85
Western Sahara,92204,7882.01,52.20079486299983,85,85,85
Western Sahara,91734,6207.93,52.20077795400357,90,85,85
Western Sahara,92990,6532.59,52.201007603001926,5,85,90
Western Sahara,90857,7372.24,52.20079080399955,10,85,90
Western Sahara,94165,6358.7,52.20123412299654,15,85,90
Western Sahara,92994,9935.06,52.20115915400311,20,85,90
Western Sahara,92916,10541.93,52.2009986339981,80,85,90
Western Sahara,95270,9135.15,52.20097247299782,85,85,90
Western Sahara,92495,5904.1,52.20124352399944,90,85,90
Western Sahara,91708,9224.59,52.2010180340003,5,85,95
Western Sahara,94530,8113.4,52.20107669400022,10,85,95
Western Sahara,87937,6181.23,52.200691373000154,15,85,95
Western Sahara,89859,6948.79,52.20095658399805,20,85,95
Western Sahara,95137,7588.67,52.20109410399891,80,85,95
Western Sahara,91399,5638.78,52.20092456299972,85,85,95
Western Sahara,89958,4269.94,52.200883192999754,90,85,95
Western Sahara,93226,7713.74,52.20112937399972,5,85,100
Western Sahara,93859,5653.37,52.20082838400049,10,85,100
Western Sahara,92799,5678.47,52.2012115840007,15,85,100
Western Sahara,90201,6132.42,52.200937762998365,20,85,100
Western Sahara,90868,6626.84,52.2009399339986,80,85,100
Western Sahara,94663,6435.7,52.20095438399949,85,85,100
Western Sahara,94408,4915.57,52.201061453000875,90,85,100
Western Sahara,38739,2263.65,52.20090708299904,5,90,5
Western Sahara,38718,1503.54,52.20095508400118,10,90,5
Western Sahara,37732,2969.6,52.20109080399925,15,90,5
Western Sahara,35072,2728.44,52.20092055299756,20,90,5
Western Sahara,37671,2555.18,52.200917694000964,80,90,5
Western Sahara,36903,2937.25,52.20084273400062,85,90,5
Western Sahara,38510,2420.79,52.20084169300026,90,90,5
Western Sahara,37479,3392.63,52.20103295399895,5,90,10
Western Sahara,37206,3289.07,52.20103380400178,10,90,10
Western Sahara,38207,3818.7,52.201170084001205,15,90,10
Western Sahara,37762,3058.02,52.20100499300315,20,90,10
Western Sahara,38829,2666.97,52.20073494399912,80,90,10
Western Sahara,39896,2542.74,52.20093334400008,85,90,10
Western Sahara,36314,3163.6,52.201169553998625,90,90,10
Western Sahara,38625,1486.99,52.201232293999055,5,90,15
Western Sahara,38241,2018.3,52.20099886300159,10,90,15
Western Sahara,36411,3105.86,52.20107793399802,15,90,15
Western Sahara,36480,2311.27,52.20099637400199,20,90,15
Western Sahara,38613,2314.16,52.200860334000026,80,90,15
Western Sahara,37695,1751.53,52.201001362998795,85,90,15
Western Sahara,37162,3608.15,52.20112681300088,90,90,15
Western Sahara,36293,2520.67,52.20083573399825,5,90,20
Western Sahara,37464,3568.33,52.2009934839989,10,90,20
Western Sahara,34838,1963.57,52.201155143000506,15,90,20
Western Sahara,35223,2893.53,52.201060782997956,20,90,20
Western Sahara,36384,2470.97,52.20094450399847,80,90,20
Western Sahara,37181,1953.82,52.20094110300124,85,90,20
Western Sahara,36398,1813.04,52.200903472999926,90,90,20
Western Sahara,91135,5186.98,52.20081444400057,5,90,85
Western Sahara,92108,7308.8,52.20126329299819,10,90,85
Western Sahara,90870,6288.71,52.201154972997756,15,90,85
Western Sahara,91068,7865.06,52.20083868399888,20,90,85
Western Sahara,93383,6061.15,52.20101387400064,80,90,85
Western Sahara,99025,5802.06,52.20103290299812,85,90,85
Western Sahara,90435,8459.77,52.20098143300129,90,90,85
